20190504,普陀,光新,精装一室户，近地铁，满二税少，业主诚心出售，好看房,250万,太浜巷小区  | 1室1厅 | 38.48平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ddf4e46f-4d1a-4d66-8df8-9dc256f3996a.jpg.296x216.jpg
20190504,普陀,光新,电梯房全明户型 采光好 诚意出售 看房方便 到价签字,550万,石泉邮政大楼  | 2室1厅 | 91.69平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a52c1f34-5307-4a1d-8c81-a89943b67c56.jpg.296x216.jpg
20190504,普陀,光新,业主诚意出售，看房方便，南北通两房！,268万,管弄一二街坊  | 2室0厅 | 49.54平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-25748250-666a-4343-8f38-6169cb1c71ab.jpg.296x216.jpg
20190504,普陀,光新,香溢花城(住宅) 2室2厅 935万,935万,香溢花城(住宅)  | 2室2厅 | 126平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-dc6fa2d8-f7b7-4b68-8746-813cd3b203c9.jpg.296x216.jpg
20190504,普陀,光新,朝南一房一厅 高区 视野开阔 采光充足房龄新成熟配套,210万,石泉一村  | 1室1厅 | 47.51平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-89834f4a-8d6b-4a20-af49-70ee865123f2.jpg.296x216.jpg
20190504,普陀,光新,南北户型，三房，客厅有窗户，厨卫明，高区景观房,810万,秋月枫舍  | 3室2厅 | 105.84平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-f5a7d83c-6fdd-4c55-a0fe-3572003718f6.jpg.296x216.jpg
20190504,普陀,光新,笋盘 满五唯一 低区楼层 近地铁 采光无遮挡,208万,管弄三街坊  | 1室1厅 | 36.69平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-1c2a2bfc-fc1d-4dd4-8a67-f74320a3e8a0.png.296x216.jpg
20190504,普陀,光新,融创品质 顶楼 有东西两个露台 诚意出售,2350万,香溢花城(住宅)  | 4室2厅 | 278平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-3a3bc702-1fb1-433f-8058-47aaa1e1d878.jpg.296x216.jpg
20190504,普陀,光新,南北通风一室户 采光好 看房方便 精装修 满五年,198万,石泉五村  | 1室1厅 | 36.97平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-29210206-3010-4b11-9b00-5c4d77409c5c.jpg.296x216.jpg
20190504,普陀,光新,小区目前出售，精装两房，修保养好，诚意出售,760万,香溢花城(住宅)  | 2室2厅 | 107.78平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-00e99586-7796-4274-a926-b0e38be8f83f.jpg.296x216.jpg
20190504,普陀,光新,168万  石泉大厦 精装修  镇坪路地段 实际得房高,168万,石泉大厦  | 1室0厅 | 33.38平米 | 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-fd15441d-ec17-4580-a691-f54c002cfb03.jpg.296x216.jpg
20190504,普陀,光新,精装修 小两房 95年房龄 一层四户 诚意出售,248万,石泉大厦  | 2室1厅 | 50.82平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-87dbe19b-1275-4cdb-8245-e0d70b4cfb83.png.296x216.jpg
20190504,普陀,光新,南北通两房，配套齐全，诚意出售  看房方便,300万,中山北路2185弄  | 2室1厅 | 49.18平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-fd0a683b-0bd0-4ca4-a387-13a74549b5f3.jpg.296x216.jpg
20190504,普陀,光新,楼层好双南全明户型，采光充足，户型正气 近地铁,335万,管弄五六街坊  | 2室1厅 | 59.95平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-814b9ae9-ad5b-4395-95af-8727eb6260c0.jpg.296x216.jpg
20190504,普陀,光新,管弄三街坊 3室1厅 435万,435万,管弄三街坊  | 3室1厅 | 74.61平米 | 东 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d24c971f-20d7-4e89-a646-a6839e93bd6d.jpg.296x216.jpg
20190504,普陀,光新,安静！正看小区花园,高区全南两房改三房！!,750万,秋月枫舍  | 2室2厅 | 100.23平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-2b9a094f-9f8a-44cf-a676-a338cb0032f2.jpg.296x216.jpg
20190504,普陀,光新,香溢花城(住宅) 2室1厅 800万,800万,香溢花城(住宅)  | 2室1厅 | 86.01平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-748957d3-fa8b-419c-a674-f30bd6d2da05.jpg.296x216.jpg
20190504,普陀,光新,精装修二楼边套好房，看房提前预约,235万,管弄五六街坊  | 1室1厅 | 41.41平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c1e0f70e-49d6-4531-ad25-aa54d47af3e2.jpg.296x216.jpg
20190504,普陀,光新,低楼层 采光好 看房方便 诚意出售 近地铁3.4.7号线,210万,管弄五六街坊  | 1室1厅 | 40.11平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1ff6f00f-a7db-4e90-bd8c-74be0eb02bf7.jpg.296x216.jpg
20190504,普陀,光新,朝南一室户 精装带阳台 税费少 楼层好 总价低 地铁近,175万,太浜巷小区  | 1室1厅 | 29.47平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-73270a57-cde8-4b16-9618-7d45ab1da2bc.png.296x216.jpg
20190504,普陀,光新,双南两房，小区目前在出售，精装修保养好，诚意出售,960万,香溢花城(住宅)  | 2室2厅 | 109.51平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-3886faf6-0174-47ca-9c96-277f8bc43de3.jpg.296x216.jpg
