20190504,宝山,张庙,泗塘五村 2室1厅 250万,250万,泗塘五村  | 2室1厅 | 62.05平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-437451d4-f0f1-42a7-8712-2714c5b4a45e.png.296x216.jpg
20190504,宝山,张庙,城投世纪名城 2室2厅 440万,440万,城投世纪名城  | 2室2厅 | 91.88平米 | 东南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d52e652f-63df-43e2-9615-1e43ed27a075.jpg.296x216.jpg
20190504,宝山,张庙,非顶楼 一梯两户 三房朝南带阳台 满五年 无浪费面积,285万,呼玛二村  | 3室1厅 | 67平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-66f35498-30c6-4ff5-977f-41d663661610.jpg.296x216.jpg
20190504,宝山,张庙,共和小区 4室2厅 680万,680万,共和小区  | 4室2厅 | 226.14平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4f33a9d2-4855-447d-86bd-490134fe5b58.jpg.296x216.jpg
20190504,宝山,张庙,呼玛二村 2室1厅 225万新上,225万,呼玛二村  | 2室1厅 | 53.52平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e4bcbcd3-981d-4ba7-b431-59498e73913a.jpg.296x216.jpg
20190504,宝山,张庙,呼玛四村精装修一室一厅，全明，家具家电全随时能看房,170万,呼玛四村  | 1室1厅 | 41.81平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-ce8060dc-e4ac-4cb2-b288-fded87a239d0.png.296x216.jpg
20190504,宝山,张庙,泗塘五村  南北两室户 低楼层 诚信出售,175万,泗塘五村  | 2室1厅 | 48.01平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ae8f20c9-c737-47ad-9779-4c52d7f57f12.jpg.296x216.jpg
20190504,宝山,张庙,呼玛一村1梯两户精装南北两房看房提前预约,215万,呼玛一村  | 2室1厅 | 55.04平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4a7b7049-37a2-4a52-953f-cd9d3a6fe612.jpg.296x216.jpg
20190504,宝山,张庙,南北大三房！中间楼层！阳光直射房屋，看房联系维护人,530万,城投世纪名城  | 3室2厅 | 110.81平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7c0eaaec-e446-4398-ad93-c66942845893.jpg.296x216.jpg
20190504,宝山,张庙,居家装修，拎包入住，满屋春色关不住，只缘身在此房中,190万,泗塘一村  | 1室1厅 | 50.27平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2ff3abd9-0f48-447f-9a5e-8571dad265a7.jpg.296x216.jpg
20190504,宝山,张庙,呼玛一村 2室1厅 255万,255万,呼玛一村  | 2室1厅 | 62.68平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-266fbfe1-5da9-4752-a478-4958d91f4c90.jpg.296x216.jpg
20190504,宝山,张庙,楼层好+采光无遮挡+适合居家住+双南房型正气,225万,泗塘二村  | 2室0厅 | 47.5平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-55067084-5809-41c5-a8b7-f81a3de74dc0.jpg.296x216.jpg
20190504,宝山,张庙,共和小区 2室2厅 299万,299万,共和小区  | 2室2厅 | 64.46平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-6c2ae72e-2841-4230-bc10-e8c078b5d27a.jpg.296x216.jpg
20190504,宝山,张庙,满五唯一，产权一个，户口一个！,290万,通河一村  | 2室1厅 | 70.04平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-47bf5b0a-ee62-4ec5-a057-500534632e3f.jpg.296x216.jpg
20190504,宝山,张庙,单价低总价低，户型正气，东边套南北通透的全明户型。,245万,呼玛三村  | 2室1厅 | 59.37平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-1234e489-cab4-4cda-a9ab-49a304fa2934.png.296x216.jpg
20190504,宝山,张庙,房东委托链家出售，有钥匙看房子很方便，诚心出售。,185万,呼玛二村  | 1室1厅 | 47.26平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7d9c9f8d-cdae-49f4-a60c-6ea8bd818179.jpg.296x216.jpg
20190504,宝山,张庙,盛达家园 2室2厅 415万,415万,盛达家园  | 2室2厅 | 103平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-5ebeb667-82d3-4353-82f4-182d874ba7e0.png.296x216.jpg
20190504,宝山,张庙,此房满二年 单价低 总价也低 高楼层采光好,220万,呼玛一村  | 2室1厅 | 55.9平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9195f77d-234b-45ca-9f83-632ee6b6fcd1.jpg.296x216.jpg
20190504,宝山,张庙,共和三村 2室1厅 280万,280万,共和三村  | 2室1厅 | 73.6平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-8f122881-a94b-4687-8a84-e7500998b537.png.296x216.jpg
20190504,宝山,张庙,共和小区 1室1厅 245万新上,245万,共和小区  | 1室1厅 | 49.05平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8963e2ba-6811-49c1-805a-1904c2b20e5b.jpg.296x216.jpg
20190504,宝山,张庙,民主花园 2室1厅 407万新上,407万,民主花园  | 2室1厅 | 81.11平米 | 南 | 其他 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-0790a1d1-cb9b-41d2-aaea-5033f2192047.jpg.296x216.jpg
20190504,宝山,张庙,小户型，低总价，近地铁，业主诚意出售,150万,呼玛四村  | 1室1厅 | 41.32平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-059b493f-0831-4813-b96b-024b8cb17aaa.jpg.296x216.jpg
20190504,宝山,张庙,两梯三户 高区三房 17年精装修 看房有钥匙,715万,住嘉新苑  | 3室2厅 | 152.35平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-25f4e5eb-3272-490e-af23-7bec1365c415.jpg.296x216.jpg
20190504,宝山,张庙,景华世纪园 3室2厅 680万,680万,景华世纪园  | 3室2厅 | 141.2平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-92524299-cb0b-4aff-a5f1-452a93ed6c1b.jpg.296x216.jpg
20190504,宝山,张庙,住嘉新苑 3室2厅 650万,650万,住嘉新苑  | 3室2厅 | 116.17平米 | 南 | 其他 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-2656b179-8700-4f7d-91c9-bcd71f575e16.jpg.296x216.jpg
20190504,宝山,张庙,电梯景观房  精装修 看房随时 双南户型 配套齐全,335万,民悦苑  | 2室1厅 | 71.29平米 | 东南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-c5cb5e76-e82a-45d5-8c1c-367c5af21f21.png.296x216.jpg
20190504,宝山,张庙,低总价电梯房+（满五唯一）+业主诚意出售+看房方便,380万,盛达家园  | 2室2厅 | 91.34平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-be8b343b-051c-4ff6-acfd-9dcd437ada13.png.296x216.jpg
20190504,宝山,张庙,呼玛五村 2室1厅 268万,268万,呼玛五村  | 2室1厅 | 54.13平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5a5cbf0b-466c-4294-8f76-25d819194dee.jpg.296x216.jpg
20190504,宝山,张庙,城投世纪名城 2室2厅 420万,420万,城投世纪名城  | 2室2厅 | 90.71平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-bcbbdbe1-d666-4966-b53b-a1590c77f5e1.jpg.296x216.jpg
20190504,宝山,张庙,总价低，南北格局楼层通风好，顶楼复式，楼上不算面积,420万,昌鑫时代绿园  | 2室2厅 | 75.54平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-75e31d0e-160b-4f14-94cd-18ef261fcd73.jpg.296x216.jpg
20190504,宝山,张庙,通河一村 高楼层电梯两房 户型通明 采光无遮挡,345万,通河一村  | 2室1厅 | 70.04平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-d35107d7-f691-4ff9-8532-df9b7b2cd6fc.jpg.296x216.jpg
20190504,宝山,张庙,盛达家园 2室2厅 430万,430万,盛达家园  | 2室2厅 | 100.67平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-24b68232-2c43-41ed-8837-d41e37abe080.jpg.296x216.jpg
20190504,宝山,张庙,一梯两户 户型正气 精装带地暖 拎包即住 装修两年,200万,呼玛二村  | 1室1厅 | 42.22平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-49197bca-bf98-42e9-99b8-e9a2d3df1a49.jpg.296x216.jpg
