20190504,宝山,杨行,飘鹰58弄 两房朝南 厅南北通 中高楼层 西边套,370万,荣域飘鹰锦和花园(公寓)  | 2室2厅 | 87.64平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-bc75f50a-3f99-4bde-aa70-a95f7336cfb9.jpg.296x216.jpg
20190504,宝山,杨行,飘鹰少有户型，双南南北通，随时看房,360万,荣域飘鹰锦和花园(公寓)  | 2室2厅 | 90.91平米 | 南 北 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-2fc3d382-9cfe-4470-9673-ba8c94566e62.png.296x216.jpg
20190504,宝山,杨行,满五唯一 诚意出售 自住置换 保养较好,380万,万科四季花城  | 3室2厅 | 89平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-4ccea670-9549-4489-baa1-8e65da211095.jpg.296x216.jpg
20190504,宝山,杨行,中间楼层 南北通透户型 高档社区景观三房体验奢华生活,450万,万业紫辰苑  | 3室2厅 | 105平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-d66f9b66-3b44-46f1-9c27-f9824af795cb.jpg.296x216.jpg
20190504,宝山,杨行,楼层、采光好！入住体验非同寻常,400万,香逸湾  | 3室2厅 | 88.67平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-04338dfd-845d-4c0a-82e4-82c1009618e9.jpg.296x216.jpg
20190504,宝山,杨行,居家简约品味装修 大三房两卫房型正气 别墅品质物业,480万,招商海德名门  | 3室2厅 | 133.1平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-cee0b6c8-fd19-4cc9-b2e4-758e2b46ff11.jpg.296x216.jpg
20190504,宝山,杨行,荣域飘鹰锦和花园 近地铁有钥匙随时看,350万,荣域飘鹰锦和花园(公寓)  | 2室2厅 | 91.36平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-79b4c335-5447-4673-8070-6c94de3513fa.jpg.296x216.jpg
20190504,宝山,杨行,万业小户型 视野开阔 看房方便,260万,万业紫辰苑  | 2室1厅 | 68.56平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-456386bd-47cd-45f7-960e-47b34961ab6e.jpg.296x216.jpg
20190504,宝山,杨行,远洋香奈，顶楼复式，前排采光无遮挡，房东诚意出售。,460万,远洋香奈  | 2室2厅 | 98.32平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-524fedde-0ce6-4d97-aeb9-9bcadcb91e24.jpg.296x216.jpg
20190504,宝山,杨行,精装两房+诚心出售，产权清晰到价签字,390万,万业紫辰苑  | 2室2厅 | 94.77平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a188a83d-8524-4448-b9a4-eac99de338fd.jpg.296x216.jpg
20190504,宝山,杨行,大黄馨园 3室2厅 380万,380万,大黄馨园  | 3室2厅 | 119.61平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c7169459-75b4-4683-9d2f-f91eee6f152f.jpg.296x216.jpg
20190504,宝山,杨行,绿地海域笙晖(公寓) 3室1厅 439万,439万,绿地海域笙晖(公寓)  | 3室1厅 | 94.67平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-56e41efa-3632-4727-9bc8-ab9c57c98da6.png.296x216.jpg
20190504,宝山,杨行,2007年小区，户型正气，位置佳，好房不等人！,310万,康桥水都(公寓)  | 2室1厅 | 78.01平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-309b9abc-17c9-414c-aa42-791aa48ae731.png.296x216.jpg
20190504,宝山,杨行,飘鹰58弄 满五年 精装修 距地铁站约300米,260万,荣域飘鹰锦和花园(公寓)  | 1室1厅 | 62.69平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-30c66b2e-df9f-469e-a41b-37b8040e26c5.jpg.296x216.jpg
20190504,宝山,杨行,舒适大两房 居家装修 环境好 次新房 位置好,370万,招商海德名门  | 2室2厅 | 92.44平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-e98343a6-1a9a-4232-8689-ca34de3a1b6f.png.296x216.jpg
20190504,宝山,杨行,非顶楼，满五年，置换，南北通，简单装修,224万,杨泰三村  | 2室1厅 | 72.73平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1c43bbec-6403-4057-936d-760d387ebb71.jpg.296x216.jpg
20190504,宝山,杨行,电梯房 满五唯一 价格可谈 高楼层 层高,410万,柏丽华庭  | 2室2厅 | 98.69平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-71e27b0e-6a6a-4456-8e94-382f3bff57f1.png.296x216.jpg
20190504,宝山,杨行,宝地绿洲城 2室2厅 400万,400万,宝地绿洲城  | 2室2厅 | 99.2平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-9b926028-570a-4952-aeaa-03ff63ab1461.png.296x216.jpg
20190504,宝山,杨行,不满两年毛坯房，两梯四户西边套，低楼层有钥匙,365万,绿地海域笙晖(公寓)  | 3室2厅 | 100.76平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-39d5a238-5355-4c38-818a-d5799419b917.jpg.296x216.jpg
20190504,宝山,杨行,精装修，高楼层，环境优雅，采光无遮挡。,270万,绿地海域笙晖(公寓)  | 1室2厅 | 64.86平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-e457d5cb-c9e7-4b7d-8817-1f19967dc396.jpg.296x216.jpg
20190504,宝山,杨行,精装大三房 业主自住 保养的好 二房朝南 厅南北通,520万,万科四季花城  | 3室2厅 | 127.54平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-0a2b0201-a2bb-4ba6-9614-bea056a64a46.jpg.296x216.jpg
20190504,宝山,杨行,绿地海域笙晖(公寓) 3室2厅 360万,360万,绿地海域笙晖(公寓)  | 3室2厅 | 95.25平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-db5e8ef7-2eaf-4e1a-87f1-ece716867ff5.jpg.296x216.jpg
