20190504,闵行,七宝,买进价560万 有产权车位 全南户型，开发商样板房装修房主自荐,740万,东方花园三期  | 2室2厅 | 90.48平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-3b1860f3-89a7-42dc-877e-9a10e9a8e87b.png.296x216.jpg
20190504,闵行,七宝,满五年 精装三房 地铁公交便利 生活配套齐全房主自荐,755万,明泉公寓  | 3室2厅 | 149.18平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-184637fe-5212-4fbe-bab8-19d35612d19b.jpg.296x216.jpg
20190504,闵行,七宝,户型正气 闵行小两房 总价便宜 诚意出售 随时看房,220万,茂盛花苑  | 2室1厅 | 54.48平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-1fbab551-c062-43bf-8e58-ade873ecedac.png.296x216.jpg
20190504,闵行,七宝,满5唯一+一梯两户+通风好+户型方正+产权清晰新上,518万,宝南小区  | 3室1厅 | 108.64平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1cdbe619-ac7f-4122-92f6-df56241da89f.jpg.296x216.jpg
20190504,闵行,七宝,万科品质  次新房 业主诚心出售  电梯房  不容错过房主自荐,628万,万科城花新园  | 3室2厅 | 100.82平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-3ad9e434-a064-4502-b78a-843006b3ff33.jpg.296x216.jpg
20190504,闵行,七宝,2010年次新房，景观七宝，接受置换，顶楼复式，满五,780万,摩登堂  | 3室2厅 | 137平米 | 南 | 毛坯 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-2c9ce987-fcda-49cb-8754-70483565d256.png.296x216.jpg
20190504,闵行,七宝,精装叠加别墅，满五税少，诚意出售,1200万,保利名苑(公寓)  | 5室2厅 | 211.59平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0fdc019a-58e7-4c7e-b475-4466fc7b2888.jpg.296x216.jpg
20190504,闵行,七宝,地铁口小区，售后公房，税费很少,330万,牡丹新村  | 2室1厅 | 55.89平米 | 东南 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-cdf0ec8a-9255-4540-88e8-73d257e3a3eb.jpg.296x216.jpg
20190504,闵行,七宝,一期水云别墅 经典大三房 南北双露台 看房随时 诚售,1250万,皇都花园  | 3室2厅 | 169.99平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-71602ce7-b0dc-422e-a005-ecf99973221e.png.296x216.jpg
20190504,闵行,七宝,近明强 近地铁 南北通透 位置佳 宝龙城 文化公园,400万,金泰公寓  | 2室1厅 | 59.99平米 | 南 北 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-7429fe7b-412b-40fa-b2d9-6a854e1edcc1.png.296x216.jpg
20190504,闵行,七宝,俯瞰明强总校 电梯9楼大两房 前无遮挡看房随时,798万,茂盛城市花园  | 2室2厅 | 107.55平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-9b197b3a-1a0a-4450-b6c2-0b147f59aae6.png.296x216.jpg
20190504,闵行,七宝,站在家里，花园是美景；居家上海适合选择电梯大三房。房主自荐,700万,万科城市花园  | 3室2厅 | 142.31平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-6eca82f4-0ac4-45fa-94fc-03dede1eea84.jpg.296x216.jpg
