20190504,虹口,北外滩,榆林路93弄 1室1厅 265万房主自荐,265万,榆林路93弄  | 1室1厅 | 37.59平米 | 南 | 其他 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9acf1881-7db5-4a6e-a8f0-ae13157d3a4f.jpg.296x216.jpg
20190504,虹口,北外滩,久耕小区 2室1厅 340万,340万,久耕小区  | 2室1厅 | 53.45平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d79ad901-a8e9-4197-8320-e5a50124c129.jpg.296x216.jpg
20190504,虹口,北外滩,东泰大厦高区江景房，业主诚意出售,1200万,东泰大厦  | 3室2厅 | 186.22平米 | 东南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/1780702a-b629-41fd-97bb-3c093b78c862.png.296x216.jpg
20190504,虹口,北外滩,海翔小区 2室1厅 380万,380万,海翔小区  | 2室1厅 | 58平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d9eed9c0-bd72-4506-b0f2-0f7c72c026af.jpg.296x216.jpg
20190504,虹口,北外滩,公平大楼 1室1厅 370万,370万,公平大楼  | 1室1厅 | 53.1平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-10ebddd6-e645-4f56-8a26-2b7ddf55d427.jpg.296x216.jpg
20190504,虹口,北外滩,久耕小区 1室1厅 325万,325万,久耕小区  | 1室1厅 | 46.61平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-ff4eab83-24cd-4c93-b0cd-c5ddc5d17cfb.png.296x216.jpg
20190504,虹口,北外滩,顶层复式，近外滩，两个大露台，单价低，业主诚意卖,2000万,阳光前景  | 5室2厅 | 225.49平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-c1e0b425-2a7c-4881-bd01-78a18250804e.jpg.296x216.jpg
20190504,虹口,北外滩,久耕小区 2室0厅 325万,325万,久耕小区  | 2室0厅 | 51.61平米 | 西南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-992e207e-6d7e-46a9-839a-de3b45f4a0f1.jpg.296x216.jpg
20190504,虹口,北外滩,高层采光好，边套，厨卫全明，满五年税少，诚意出售,405万,三铭小区  | 2室1厅 | 60.51平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-55da2a67-40f4-462c-a0af-467a076f183f.jpg.296x216.jpg
20190504,虹口,北外滩,北外滩06年小高层 南北通两房 一梯两户 看房方便,860万,中虹明珠苑  | 2室2厅 | 123.43平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-7a44634d-8225-4e49-bcca-cb3d83a79a07.jpg.296x216.jpg
