20190504,杨浦,鞍山,精装修，一门关朝南，房龄新可商贷,289万,鞍山四村第二小区  | 1室1厅 | 46平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-2151a1a6-b369-4ec3-a55e-ee9c51cdacbb.png.296x216.jpg
20190504,杨浦,鞍山,售后公房满五唯一，两房两厅边套五明，诚售可谈！,745万,建工大楼  | 2室2厅 | 112.7平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-57cfaa4d-dfd1-48d7-87d9-4b9b69858b5b.png.296x216.jpg
20190504,杨浦,鞍山,满五唯一，诚心出售，配套齐全，商圈繁华,185万,双辽支路70弄  | 1室0厅 | 33.64平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-15ecad46-18a2-46c7-ac35-feac1599e171.jpg.296x216.jpg
20190504,杨浦,鞍山,07年房龄打一300米 一梯四户 得房率高 位置好，近地铁,310万,鞍山四村第一小区  | 1室1厅 | 49.39平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-4445484f-3c4a-4743-a982-685dd00fc9cc.png.296x216.jpg
20190504,杨浦,鞍山,05年次新小区、配套设施齐，房东诚心出售，随时看,490万,恒阳花苑  | 2室1厅 | 66.15平米 | 南 北 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-6986ad6d-d316-4485-adc7-649852feb20b.png.296x216.jpg
20190504,杨浦,鞍山,满五年 房东诚意出售 看房随时方便,409万,密云小区  | 1室1厅 | 52平米 | 西 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-ed33fea5-6dc8-48d5-b92d-96e04629ef27.jpg.296x216.jpg
20190504,杨浦,鞍山,01年次新房，满五唯一，绿植多，出行方便。,860万,同济绿园  | 2室2厅 | 101.6平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-da017bf8-3099-4c7b-a35e-20b39f8b0870.jpg.296x216.jpg
20190504,杨浦,鞍山,同济新村+1梯2户+90年房龄+满五唯一+10号线同济大学房主自荐,518万,同济新村  | 3室1厅 | 62.68平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9635f95c-ffeb-43cb-9d3c-0120cfb62cf4.jpg.296x216.jpg
20190504,杨浦,鞍山,内环内+明饿未用！近地铁8号鞍山新村站+新华医院,222万,抚顺路363弄  | 1室0厅 | 30.2平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-115a92d5-38a7-4429-b02d-52f0d47f4455.jpg.296x216.jpg
20190504,杨浦,鞍山,05年次新小区、配套设施齐，精装修，房东诚心出售房主自荐,540万,恒阳花苑  | 2室1厅 | 68.32平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-79588d77-a764-4611-a17e-da8e24d2a84c.jpg.296x216.jpg
20190504,杨浦,鞍山,恒阳花苑 2室2厅 590万,590万,恒阳花苑  | 2室2厅 | 85.27平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-610f3d70-faeb-4175-9758-a5a6f49f9171.png.296x216.jpg
20190504,杨浦,鞍山,产权清晰，看房随时可看，提前预约，房东诚心。。。,487万,大连西路26弄  | 2室1厅 | 53.55平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8c68909a-c7a4-4f50-89ba-18dc258570d5.jpg.296x216.jpg
20190504,杨浦,鞍山,西山墙全明，满五唯一，好环境好房东,265万,抚顺路363弄  | 1室1厅 | 40.01平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f10da3dd-73b0-40bf-a060-f3c84f3c6495.png.296x216.jpg
20190504,杨浦,鞍山,次新小区，中间楼层，双南两房，采光好，价格可小谈。,680万,中通雅苑  | 2室1厅 | 76.82平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-d09df26b-2024-471f-be5e-ffc76ae86ce6.png.296x216.jpg
20190504,杨浦,鞍山,精装修双南两房，满五唯一，没有增值税和个税随时看房,498万,公安大楼(杨浦)  | 2室1厅 | 77.55平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-ed88bddb-d056-4f37-a550-ab3153616105.png.296x216.jpg
20190504,杨浦,鞍山,满五唯一 房型正气双天井  产权清晰无抵押,470万,铁岭大楼  | 3室0厅 | 70.38平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-ca662b82-2177-42c5-9eab-499904671836.jpg.296x216.jpg
20190504,杨浦,鞍山,国中公寓 3室2厅 785万,785万,国中公寓  | 3室2厅 | 150.51平米 | 南 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-5b9a41ad-f633-409e-9ae7-b1b3995c6f3c.jpg.296x216.jpg
20190504,杨浦,鞍山,婚房装修+二师自住两房两厅，全明户型，安静房主自荐,765万,建工大楼  | 2室2厅 | 112.7平米 | 东 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-b5842993-4e92-4df3-8ae4-e8fd17d1baf9.png.296x216.jpg
20190504,杨浦,鞍山,售后公房，满五唯一，诚心出售，干净清爽。,388万,密云小区  | 1室0厅 | 31.84平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b0c60840-19bb-4451-a80d-27aa84c38bb1.jpg.296x216.jpg
20190504,杨浦,鞍山,鞍山一村第三小区 1室1厅 265万,265万,鞍山一村第三小区  | 1室1厅 | 29.85平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-fdb2902d-4a27-4ce7-8511-2a74cfce0125.jpg.296x216.jpg
20190504,杨浦,鞍山,三房两厅两卫，南北通，2个阳台中高层，采光佳视野好,810万,雪城公寓  | 3室2厅 | 123.9平米 | 南 | 精装,https://image1.ljcdn.com/310000-inspection/prod-c9d5d6b0-9562-4845-858c-60958a729d0e.jpg.296x216.jpg
20190504,杨浦,鞍山,近地铁看房方便，满五唯一业主急售，价钱可谈房主自荐,780万,国中公寓  | 2室2厅 | 137.4平米 | 西 | 简装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-b758b5f1-433a-424a-9ea9-ffc3fe7c2cde.png.296x216.jpg
20190504,杨浦,鞍山,满五唯一，交通便利，三甲医院,购物广场,690万,凤凰大楼  | 2室2厅 | 114.19平米 | 西南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-1ab2f067-5bc6-4125-916a-d09ea8a12920.png.296x216.jpg
20190504,杨浦,鞍山,同济绿园，满五年，家里小朋友不在这里上学，有小花园房主自荐,950万,同济绿园  | 3室2厅 | 123.89平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-78ac40d4-e233-407e-adf7-f201ceffeaa7.jpg.296x216.jpg
20190504,杨浦,鞍山,上家税免 高区采光好 家居朝南一门关 近地铁4*8号线,215万,大连路1188弄  | 1室0厅 | 34.07平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-71530438-5790-4e09-b1d1-41a129b6bcf4.png.296x216.jpg
