20190504,徐汇,上海南站,楼层好+诚心出售+采光好+价格可谈+配套齐全房主自荐,213万,汇成一村  | 1室1厅 | 38.6平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-836f1342-d31f-4103-8285-ce41140eba14.jpg.296x216.jpg
20190504,徐汇,上海南站,婚房装修 业主诚售，诚邀您来看房,265万,汇成四村  | 2室1厅 | 50平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-190a033e-f782-4c99-9013-4db0f2fe614b.jpg.296x216.jpg
20190504,徐汇,上海南站,总价低+毛坯房位置好+房东诚意出,240万,汇成五村  | 1室1厅 | 39.4平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-91d14690-c4cc-45b1-b495-ac3ef15c30b3.png.296x216.jpg
20190504,徐汇,上海南站,近上海南站+上海植物园+急售两房+两厅+两卫+位置好房主自荐,540万,华东花苑  | 2室2厅 | 93.73平米 | 南 北 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-bc646f1e-34f1-463f-8221-aa427c6d464f.jpg.296x216.jpg
20190504,徐汇,上海南站,钥匙房+业主诚心出售+中间楼层+户型南北通,240万,东荡小区  | 1室1厅 | 42.89平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-7cff4204-d0a6-4f39-9337-e13633440686.png.296x216.jpg
20190504,徐汇,上海南站,双南户型 一梯两户 高品质小区,405万,体育花苑  | 2室1厅 | 69.26平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-b152d2a0-5b4a-4936-827b-5e8736e01b6e.png.296x216.jpg
20190504,徐汇,上海南站,南北两房·主卧朝南带阳台和院子，业主诚心出售,345万,楼园小区  | 2室1厅 | 60.48平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e99605e5-35ad-44e4-98e9-9db025684686.jpg.296x216.jpg
20190504,徐汇,上海南站,西边套全明   诚意出售  中间楼层  交通便利房主自荐,375万,金牛苑  | 2室1厅 | 67.92平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7ca98e58-ad2f-4aa3-b752-043acd5407dc.jpg.296x216.jpg
20190504,徐汇,上海南站,近上海南站+双南两房+小区环境好+出入方便+诚心出售房主自荐,395万,罗城小区  | 2室2厅 | 69.17平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-c73498f8-e50d-4f99-af37-ea9c8e53ae28.png.296x216.jpg
20190504,徐汇,上海南站,满五唯一+1楼边套带天井+两房一厅，简装修，置换诚售,318万,汇成一村  | 2室1厅 | 61.2平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-c6d5e81a-9f78-4394-82e5-dff8d52a5718.png.296x216.jpg
20190504,徐汇,上海南站,光华园大两房，采光好，装修可以拎包入住的，方便看房房主自荐,720万,光华园  | 2室2厅 | 98.73平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-cf88dd20-b0f6-4b76-8b15-d73b56323884.png.296x216.jpg
20190504,徐汇,上海南站,满五唯一  精装修   舒适两房   看房方便房主自荐,230万,东荡小区  | 2室1厅 | 43平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e44a7180-3867-4c04-8f93-e2dc18798648.jpg.296x216.jpg
20190504,徐汇,上海南站,三房朝南厨卫朝北的正户型，清新精美装修，美观大雅,700万,光华园  | 3室1厅 | 97平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-5fe9af43-0942-4537-a0ed-b9ba4e15a6b8.jpg.296x216.jpg
20190504,徐汇,上海南站,双南两房，中间楼层，居家装修，诚意出售,360万,金牛苑  | 2室1厅 | 62.45平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-9d2978d2-8b2f-4949-8a93-8b43aa5ec0cd.jpg.296x216.jpg
20190504,徐汇,上海南站,热门社区+景观社区+植物园空气悬浮物少+带院子房主自荐,258万,汇成四村  | 2室1厅 | 56.8平米 | 南 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-8141ea98-97e8-4743-903e-3955a88f6596.jpg.296x216.jpg
20190504,徐汇,上海南站,两年内的装修 主卧朝南 阳台视野开阔无遮挡,240万,汇成五村  | 1室1厅 | 35.6平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d293766e-39b3-440c-854d-9589693957e2.jpg.296x216.jpg
20190504,徐汇,上海南站,南北双阳台，厅朝北有窗，采光充足，位置安静房主自荐,300万,汇成四村  | 2室1厅 | 63.1平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e1cd687f-921f-4bb5-8df1-666ba8bf1bdb.jpg.296x216.jpg
20190504,徐汇,上海南站,华东花苑+ 顶楼带露台+一梯两户近上海南站+看房方便房主自荐,303万,华东花苑  | 1室1厅 | 57.72平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-1d69ec28-cb31-42af-a53b-5d4477b542bb.jpg.296x216.jpg
20190504,徐汇,上海南站,配套齐全+非顶楼+精装修+位置佳房主自荐,340万,楼园小区  | 2室1厅 | 61.17平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-723466d6-9ae1-489e-9f75-31e164d9e2d7.jpg.296x216.jpg
