20190504,闵行,古美,繁华商圈，安静位置，可做三房，可做两房。,425万,古美八村  | 3室1厅 | 78.18平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-16b1da7a-2b30-4408-a673-b27b01ebe1ec.jpg.296x216.jpg
20190504,闵行,古美,2000年商品房 温馨大两房 南北通风 二手买进税费低房主自荐,530万,莲花公寓(闵行)  | 2室2厅 | 99.41平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-952ddec5-f7bc-4c2f-acff-ce3852a25b8d.png.296x216.jpg
20190504,闵行,古美,精装拎包入住 满五唯一 采光足 带车位 位置佳房主自荐,830万,新时代富嘉花园  | 3室2厅 | 127.24平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-da893999-f617-4424-a2a3-c756db6c6e8b.jpg.296x216.jpg
20190504,闵行,古美,新时代花园 3室2厅 755万,755万,新时代花园  | 3室2厅 | 118.97平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-67e2ad6e-6902-4504-b885-a0dacccdb27e.jpg.296x216.jpg
20190504,闵行,古美,东兰兴城(惠兰苑) 3室2厅 698万新上,698万,东兰兴城(惠兰苑)  | 3室2厅 | 119.84平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f0fc3714-354b-4ac6-80a8-e6cc19d59c22.jpg.296x216.jpg
20190504,闵行,古美,精致一房+房型正气；位置安静+采光好  交通出行便利,235万,古美五村  | 1室1厅 | 48.42平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-3734c055-4341-49a8-8d9d-9cf7a8928087.png.296x216.jpg
20190504,闵行,古美,得房率高！带阳光房.带露台全明户型房主自荐,530万,平阳绿家园  | 2室1厅 | 88.69平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-19f9b996-aaaa-4511-86f7-094a54cb0cf5.jpg.296x216.jpg
20190504,闵行,古美,婚房装修，位置安静，采光无遮挡,好楼层，好房型房主自荐,630万,江南星城  | 2室2厅 | 93.72平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-132750f3-d8a2-43fd-820f-e65e34687e3a.jpg.296x216.jpg
20190504,闵行,古美,双南两房 全明户型采光好 得房率高 看房方便 满五唯一房主自荐,520万,蓝色港湾(公寓)  | 2室1厅 | 91.59平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-0a70b996-c368-448e-b60e-adb4981b566e.jpg.296x216.jpg
20190504,闵行,古美,新梅花苑 2室1厅 375万,375万,新梅花苑  | 2室1厅 | 92.7平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-33712973-8624-4439-97e2-a18c1130bae7.jpg.296x216.jpg
