20190504,杨浦,控江路,南北户型，楼层好，满五年唯一，房东置换诚意出售,333万,凤城二村  | 2室1厅 | 55.51平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-bdeb6922-47d6-4f5f-91bc-3ca65404fe7c.png.296x216.jpg
20190504,杨浦,控江路,双南附带飘窗阳台+精装修+诚意出售,330万,凤城三村  | 2室1厅 | 52.98平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-f04c33bc-8a6f-4563-8b9b-a3e8407664cd.jpg.296x216.jpg
20190504,杨浦,控江路,内环婚装+双房朝南+阁楼待开+此房无增值税和个税+拎包,570万,凤城五村  | 3室1厅 | 85.55平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-d07bd900-23af-4a23-879b-3edc212a081d.jpg.296x216.jpg
20190504,杨浦,控江路,凤城路44号 1室1厅 220万,220万,凤城路44号  | 1室1厅 | 38.46平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-50972a12-71ea-42be-b746-072f1419b900.png.296x216.jpg
20190504,杨浦,控江路,楼层好，户型正气，精装修，看房方便,190万,凤城三村  | 1室1厅 | 34.36平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-2c9cc7a7-7a7d-4f4d-89b9-fe1df0623200.jpg.296x216.jpg
20190504,杨浦,控江路,近地铁＋紫荆广场＋菜市场＋采光无遮挡,290万,凤城路104弄  | 2室0厅 | 49.65平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-abc42515-1ad0-4c7b-9a5c-6e9bd1a5aa15.png.296x216.jpg
20190504,杨浦,控江路,新凤城，双轨交通，诚意出售，看房方便,450万,新凤城  | 1室2厅 | 61.34平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/test-74ce36f4-396a-4eff-b3d8-903245e2a093.png.296x216.jpg
20190504,杨浦,控江路,凤城五村东边套，全明两房，满五年唯一，房东诚心出售,335万,凤城五村  | 2室1厅 | 55.89平米 | 东南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/test-3470a112-a685-4ca3-a53f-ef0f019ab817.png.296x216.jpg
20190504,杨浦,控江路,内环内+配套承受+97年原建+一梯两户+低总价小三房,600万,凤城路104弄  | 3室1厅 | 99.32平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7b142dc9-feaf-4c63-8348-0c2b68f9ee61.jpg.296x216.jpg
20190504,杨浦,控江路,原建教师楼+有天井有垫高+正对花园无遮挡+诚意出售房主自荐,193万,凤城三村  | 1室1厅 | 33.79平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-b421aa5b-03f2-4c69-9659-4e56367df121.jpg.296x216.jpg
20190504,杨浦,控江路,双轨交通 商场医院地铁站边 05年电梯小区,850万,新凤城  | 2室2厅 | 96.97平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a02e5b48-68ee-43fd-b981-43a215f233ea.jpg.296x216.jpg
20190504,杨浦,控江路,94年原建，带11平大天井，税费少，楼层佳,335万,凤城三村  | 2室0厅 | 54.27平米 | 南 北 | 毛坯 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-861bb320-3396-48c5-a295-6ee0a1383061.jpg.296x216.jpg
20190504,杨浦,控江路,精装三房  南北通透  拎包入住新上,960万,大运盛城  | 3室2厅 | 133.23平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-a627f068-b60a-475d-821d-f4ff1e1d8026.jpg.296x216.jpg
20190504,杨浦,控江路,控江二村 1室1厅 315万,315万,控江二村  | 1室1厅 | 37.92平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-218cef0b-c559-40f0-a9d1-fcf5ee99d65d.jpg.296x216.jpg
20190504,杨浦,控江路,凤城三村+顶楼带阁楼+业主诚意出售+看房方便+全明,228万,凤城三村  | 1室1厅 | 43.16平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-4530b00b-db64-41e6-a247-04e9b63d5b26.jpg.296x216.jpg
20190504,杨浦,控江路,内环内+朝南一门关+满5唯一少税+精装保养好,160万,凤城三村  | 1室0厅 | 34.24平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-7814d5f7-1290-411f-9b13-b5a0c1cc8757.jpg.296x216.jpg
20190504,杨浦,控江路,满五唯一，次新小区，精装修，可拎包入住，诚意出售,785万,杨浦公寓  | 2室2厅 | 105.51平米 | 南 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-0ed445e3-566b-458b-a794-6d478a246727.jpg.296x216.jpg
20190504,杨浦,控江路,总价单价低、双南两房、配套齐全、交通方便,255万,控江路26号  | 2室1厅 | 49.99平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-c21106b6-e7d9-4e9a-98b7-788b4422de00.jpg.296x216.jpg
20190504,杨浦,控江路,地铁10号线地铁8号线 近同济大学 新华医院 大润发,215万,凤城五村  | 1室1厅 | 40.62平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-71b8583f-a0ce-4c23-a149-a333b8aa5d8d.jpg.296x216.jpg
20190504,杨浦,控江路,适合自住+房龄新+近地铁+诚意卖+交通方便,666万,控江一村  | 2室2厅 | 83.44平米 | 南 | 简装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-bf71b1fc-89e5-4e26-85cf-9432053bb129.jpg.296x216.jpg
20190504,杨浦,控江路,东方名园 2室2厅 880万,880万,东方名园  | 2室2厅 | 97.04平米 | 南 北 | 精装 | 有电梯,https://image1.ljcdn.com/310000-inspection/prod-5ff30e29-d7dc-447f-b021-429b291c458c.jpg.296x216.jpg
20190504,杨浦,控江路,凤城三村，格局好，房型正，视野开阔，采光充足,230万,凤城三村  | 2室1厅 | 42.98平米 | 南 | 精装 | 无电梯,https://image1.ljcdn.com/310000-inspection/prod-e3021f38-eab9-491d-9860-80089564d150.jpg.296x216.jpg
