20190504,徐汇,长桥,上中大厦中间楼层两间朝南，业主诚意出售价格可谈,465万,中楼层(共24层)                                                    | 1990年建 |                                 2室1厅 | 68.1平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-649bfe7e-32d2-4761-be2c-1c95c182ae44.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,长桥一村，双南两房，欢迎随时联系看房,465万,高楼层(共5层)                                                    | 1987年建 |                                 2室1厅 | 59.98平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-a2c25028-dc98-454b-be51-51856e234e11.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,电梯房，楼层高，视野开阔，南北通途诚心出售,790万,中楼层(共23层)                                                    | 2007年建 |                                 2室2厅 | 98.78平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/test-9e6afcf8-c9cc-4fd2-9f10-139ed8243264.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,长桥二村   老房东委托      一房价低,160万,高楼层(共5层)                                                    | 1984年建 |                                 1室1厅 | 31.51平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/57bd40b6-c6cb-455b-830f-6fdfa9158175.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,99年电梯房，采光好，视野开阔，老房东诚心出售,430万,低楼层(共25层)                                                    | 1999年建 |                                 2室2厅 | 92.69平米                                  | 东 北,https://ke-image.ljcdn.com/310000-inspection/test-adaf46f7-2ce1-45dd-ae46-ae4bfc188e3b.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,东南两房 总价低，面积小 采光视野好,440万,高楼层(共6层)                                                    | 1990年建 |                                 2室1厅 | 55.33平米                                  | 东南,https://ke-image.ljcdn.com/310000-inspection/test-f682772d-a840-4721-877d-d3d47e9de928.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,楼层好，采光好！出行方便，精装修，拎包入住！,330万,高楼层(共6层)                                                    | 1994年建 |                                 2室1厅 | 68.7平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-0706a575-9988-4d18-a8f8-c020a62498aa.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,小户型层高有三米。房子没有什么费用，有钥匙看房随时,378万,低楼层(共17层)                                                    | 1994年建 |                                 1室1厅 | 43.67平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-e9d94961-113b-4e98-af2d-c5285473eac0.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,经典一房一厅，采光好，房东置换诚心出售,196万,高楼层(共6层)                                                    | 1993年建 |                                 1室1厅 | 43.67平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-f7bc5fac-0f52-466a-a109-0e7be8a6d625.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,徐汇长桥罗秀三村，二楼，户型正朝南，得房率高,195万,低楼层(共6层)                                                    | 1995年建 |                                 1室1厅 | 40.77平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-0076bd3e-8965-4ebc-a1b7-0b7b4f15ff4f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,长桥新村，2房1厅，低总价  低单间，真正的好房。,280万,中楼层(共5层)                                                    | 1985年建 |                                 2室1厅 | 60.65平米                                  | 西南,https://ke-image.ljcdn.com/310000-inspection/rsp_pic_upload9a2f810a-19ec-4628-93a2-ddd96805e0ab.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,户型是南北通透的，采光很好的小高层，,730万,中楼层(共10层)                                                    | 2008年建 |                                 2室2厅 | 92.17平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/rsp_pic_upload7fd4ef20-f349-4dfc-8a59-786094227850.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,长桥三村  老房东委托   大一房一厅 全明户型,200万,高楼层(共6层)                                                    | 1989年建 |                                 1室1厅 | 43.7平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/rsp_pic_upload1e5d3a9a-e825-45d8-bf63-2c57e0b677da.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,长桥,星罗苑 带小阁楼 精装修 采光好 业主诚售,820万,高楼层(共6层)                                                    | 2005年建 |                                 2室2厅 | 95平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-d5edc7c1-e9cc-4bcb-9737-1b22e1c8a652.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
