20190504,徐汇,康健,寿德坊一房，不靠马路，一梯两户，采光视野好,280万,高楼层(共6层)                                                    | 1993年建 |                                 1室1厅 | 49.4平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-880b9005-f42a-42a3-801a-a15bc6042201.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,精装修A+房源 花园旁 南北通透 采光充足,325万,低楼层(共6层)                                                    | 1994年建 |                                 2室1厅 | 54.58平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-507feeb2-0c90-4780-8cfc-8d75007f2042.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,店长推荐：一梯两户的电梯房，交通方便，生活配套都有,750万,低楼层(共9层)                                                    | 1999年建 |                                 3室1厅 | 122.36平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-33175816-8021-45a2-9a10-6c93a5345eae.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,品质外销房，楼下花园 ，视野开阔，欢迎评鉴。,750万,低楼层(共24层)                                                    | 1997年建 |                                 3室2厅 | 127.59平米                                  | 西南,https://ke-image.ljcdn.com/310000-inspection/test-eafc155c-19e7-4449-a756-52b82bfd37cf.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,康健星辰：小区花园位置景观大三房，满五税少，诚售,1350万,低楼层(共9层)                                                    | 2000年建 |                                 3室2厅 | 159.9平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-8e2f20bc-4a36-4595-8f49-645ff23fba5e.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,中海馨园 新挂牌精装修高区大二房 有钥匙随时看房,965万,中楼层(共37层)                                                    | 2002年建 |                                 2室2厅 | 111.09平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-0698fa67-6f37-4e25-b208-a19d18eafc5e.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,婚房精装，免征税，南北通，楼层好，视野宽阔,268万,中楼层(共6层)                                                    | 1994年建 |                                 1室1厅 | 43.38平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-7bd0f397-dd1c-474e-93e4-987139bfdcd9.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,紫薇园双南精装两房，全明户型，透风好，户型正气,550万,低楼层(共18层)                                                    | 1993年建 |                                 2室1厅 | 88.41平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-d79c5a07-dd6c-4914-a527-625e59cbf095.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,牡丹园，高档别墅，环境优美，得天独厚！,2800万,低楼层(共2层)                                                    | 1998年建 |                                 5室2厅 | 280平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/1d407f8d-7b9c-44db-aa62-e3a564edd574.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,康健,低总价三房 高区采光 视野开阔 满五不唯一,950万,高楼层(共23层)                                                    | 1998年建 |                                 3室2厅 | 128.73平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-08b3e4f3-3527-4993-9282-d2b0e2482439.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
