20190504,闵行,静安新城,经典再现 九歌花园电梯复式、4.5米挑高厅  亮眼来袭,860万,中楼层(共8层)                                                    | 2001年建 |                                 3室2厅 | 119.22平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-bdd5b35e-7794-4820-993e-b8a263393239.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,有地铁 生活方便  价格实惠  找我帮您找到满意的家,302万,中楼层(共6层)                                                    | 1994年建 |                                 2室1厅 | 61.39平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-63d4a5c6-85f4-4ef3-8161-db18dcd73f59.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,诚意出售，边套全明户型，地铁口，户型通透。,300万,高楼层(共6层)                                                    | 1994年建 |                                 2室1厅 | 61.48平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-bc183724-c92d-432f-8674-729dd6c4dd6a.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,复式3房满五税少 采光好 产权清晰 无贷款 房东诚售,468万,高楼层(共6层)                                                    | 1998年建 |                                 3室2厅 | 100.83平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-d30a3664-f6d0-4a31-9e9e-3d0ebe17851b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,全新精装修大品牌电梯房地铁口正气全明户型有钥匙税少,345万,中楼层(共24层)                                                    | 1998年建 |                                 1室1厅 | 56.26平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-e0c6943e-b869-4b84-a72c-3d7459fa6f98.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,2012年次新房  带电梯  精装带地暖 诚意出售,600万,中楼层(共13层)                                                    | 2011年建 |                                 2室2厅 | 86.03平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-a10f2f14-9e9b-490e-ab81-bf2770c032ca.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,电梯3房哪里找？站在窗台直观东方明珠，近地铁.,520万,高楼层(共24层)                                                    | 1998年建 |                                 3室1厅 | 100.77平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-8d2bfc61-3155-46f5-8acd-96b73ece2eb9.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,京都园改善电梯大两房 南北通透 户型正气 看房方便,720万,高楼层(共8层)                                                    | 2005年建 |                                 2室2厅 | 109.27平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-48ba1988-1e5b-40a7-90c4-7df1c68e4ce5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,一梯两户板式户型房型好总价低的三房两房朝南一房朝北,390万,高楼层(共6层)                                                    | 1994年建 |                                 3室1厅 | 71.87平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/rsp_pic_upload08a4c327-9bb6-4b79-8e12-bcfd386a08c5.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,满五年唯一，全明户型，总价低，近地铁，交通方便,254万,高楼层(共6层)                                                    | 1997年建 |                                 2室1厅 | 49.46平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-d1916387-6c4a-464d-8fc8-7d8a26c5eedb.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,闵行,静安新城,静安新城五区：出门地铁口+产权清晰+满五唯一+随时看,305万,高楼层(共7层)                                                    | 1997年建 |                                 1室1厅 | 53.39平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-93101be0-5653-45b1-9647-85320495878b.png!m_fill,w_280,h_210,f_jpg?from=ke.com
