20190504,松江,松江大学城,中山文化苑(二期) 2室1厅 南,239万,低楼层(共13层)                                                    | 2013年建 |                                 2室1厅 | 78.22平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/39fcd467-bda0-4956-b383-97f069920fe0.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,龙湖好望山(公寓) 3室2厅 南,450万,中楼层(共20层)                                                    | 2013年建 |                                 3室2厅 | 121平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-8f5584f3-2f4d-42e1-ac5b-5a4450ed0838.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,多层3楼，南北直通全明采光很好，业主急售，税费少,272万,中楼层(共5层)                                                    | 2006年建 |                                 2室2厅 | 87.9平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/ddd2fd8b-01b1-4692-b741-6abba3f453f4.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,万达旁  满两年 精装修 自住  诚意出售,334万,低楼层(共22层)                                                    | 2015年建 |                                 3室2厅 | 81.1平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-4c7fb415-4287-4c6b-a15b-b7b57909bb79.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,9号线大学城站地铁口别墅，看房方便，独门独户,630万,低楼层(共3层)                                                    | 2010年建 |                                 4室2厅 | 128平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/5e8adcd6-acf6-4488-b40a-b7b44bc16d75.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,精装修 带地暖 好位置 户型正,800万,低楼层(共3层)                                                    | 2006年建 |                                 4室2厅 | 190.71平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/52bcf350-cb3d-45d1-a99c-ded452ff0cbb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,急售！边套全明三房、满五唯一、一手纯毛坯、配套成熟,375万,中楼层(共12层)                                                    | 2011年建 |                                 3室2厅 | 92平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/a0b913a3-5d9a-4bb2-9cf7-bb89c1e29a8e.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,经典两房，楼层好位置好，业主诚意出售有钥匙随时可看,350万,中楼层(共14层)                                                    | 2009年建 |                                 2室2厅 | 89平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-bcd3aee7-b753-4bc7-9665-285c3c7958ed.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,三湘四季牡丹苑景观房+近地铁+配套成熟,380万,高楼层(共27层)                                                3室2厅 | 111平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-c0a81a97-4bb2-493a-9258-a28357ef0291.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,松江大学城,保利正气大三房，南北直通，通透性好。,478万,低楼层(共14层)                                                    | 2008年建 |                                 3室2厅 | 112平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-8a796582-f421-4bfd-a7f6-cf97715076d6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
