20190504,松江,泗泾,登云苑，小户型采光好，诚意出售；,170万,低楼层(共18层)                                                    | 2015年建 |                                 2室1厅 | 67平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-9b4d1d3a-61da-4cc8-b5d9-353169283176.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,金地三期，精装全配大三房，诚意出售,440万,高楼层(共18层)                                                    | 2016年建 |                                 3室2厅 | 106平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-a7d58e8c-d57e-402c-b8e0-544026056d0f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,金地玺华邨花园洋房价格便宜，诚意出售。,540万,低楼层(共8层)                                                4室2厅 | 120.52平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-3b721fd5-2cc3-4592-b7be-43c996373122.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,新凯城尚樱苑 泗泾站 出行方便 一手动迁 免增值税,240万,低楼层(共18层)                                                    | 2014年建 |                                 3室1厅 | 83.84平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-eee09b4a-83e1-4b9a-b3d2-a580aea23bad.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,位置佳，楼层佳，采光充足，小区配套齐全。,249万,中楼层(共11层)                                                    | 2009年建 |                                 2室2厅 | 79.21平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-25b6ed21-12e9-482e-9ba4-f7284fd77ea4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,新上架房源业主诚心出售，价格可以谈，有诚心尽快约看,172万,低楼层(共28层)                                                    | 2014年建 |                                 2室1厅 | 66.62平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-100fc0de-05bd-4518-97c7-a01c9917d86c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,此房费心装修，业主自住，急售，高档小区，120万装修,798万,低楼层(共3层)                                                    | 2005年建 |                                 5室2厅 | 188.19平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/bb04935d-ce26-4e80-8104-da4941e468b9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,地铁一站路 户型方正装修全给 房东急卖 价格可谈,247.8万,高楼层(共6层)                                                    | 2006年建 |                                 2室2厅 | 78.43平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20160720/f382a2d9-0fc9-4912-b472-beb30dff1d4b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,精装带地暖，诚心出售，楼层好，交通便利，高品质小区,470万,低楼层(共25层)                                                    | 2016年建 |                                 3室2厅 | 99.4平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-e6f0a4ce-c0b8-42d0-b671-43a65ecd07b3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,新凯城紫竹院边套两房一厅，诚心出售！！！,220.5万,高楼层(共13层)                                                    | 2014年建 |                                 2室1厅 | 69.11平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-e9e44e24-ed58-4fd2-942b-23e7858673bd.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,泗泾站800米，民用民水带阁楼扩展面积多，诚心价可谈,230万,高楼层(共4层)                                                    | 2005年建 |                                 3室1厅 | 59.03平米                                  | 东 西,https://ke-image.ljcdn.com/310000-inspection/prod-36cb8266-dbad-4ea9-9d90-95ce983a3ea8.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,金地自在城(二期) 3室2厅 南,330万,低楼层(共17层)                                                    | 2015年建 |                                 3室2厅 | 93平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-603b6ac5-2a61-44f5-a868-00bef0885389.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,联排中间套，实用面积大，小区环境优美，人车分流模式,650万,低楼层(共3层)                                                3室2厅 | 190.69平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20171217/65940626-e615-4185-93e3-0c38559fc0f6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,金地开发二房精装修拎包入住，高档小区，物业管理好,315万,中楼层(共18层)                                                    | 2014年建 |                                 2室2厅 | 87.91平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-bf5ed7c4-5049-4e3f-8fdc-deb27c96586d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,交通便捷 诚心出售 环境优美 上学方便,217万,中楼层(共13层)                                                    | 2014年建 |                                 2室2厅 | 67.87平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-8d25a0d8-08d0-4e73-832e-6249134ead6a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,建发玖珑湾 品质小区三房 户型方正 精装带中 央空调,430万,低楼层(共16层)                                                    | 2016年建 |                                 3室2厅 | 97.5平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-b8633af8-d412-402b-8e96-af75ece8e266.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,近地铁 上学方便 小区前排 视野开阔,201万,低楼层(共14层)                                                    | 2011年建 |                                 2室1厅 | 67.19平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-3189c16d-7708-4869-93ce-77927f8fb2ab.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,楼层好，精装修拎包入住 近9号佘山地铁口 随时好看房,230万,高楼层(共13层)                                                    | 2011年建 |                                 2室1厅 | 68.01平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-aec1f649-f2ab-4679-a95c-e47921a13aab.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,同润J2户型 临河景观房 大飘窗 全明户型 楼层好,310万,中楼层(共10层)                                                    | 2014年建 |                                 3室2厅 | 88.9平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-4a27990f-8227-4ce5-9122-a698fd935a3f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,婚房装修大两房，中高楼层，环境优美,250万,中楼层(共18层)                                                    | 2006年建 |                                 2室1厅 | 83.84平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/test-27b53b42-c569-4490-abab-7f5bdd284c3e.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,茉莉雅苑 2室1厅 南,185万,低楼层(共13层)                                                    | 2012年建 |                                 2室1厅 | 71.93平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/6ed77b84-8b1a-4793-ad6d-ab0a88094d3b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,九州世贸 一室户 看房方便 产权清晰 楼层佳 朝南,49.99万,中楼层(共16层)                                                    | 2012年建 |                                 1室1厅 | 45.02平米                                  | 南,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=20190429153127
20190504,松江,泗泾,一手动迁 总价低 税费少 楼层好 采光足,182万,中楼层(共28层)                                                    | 2014年建 |                                 2室1厅 | 65.58平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-96258430-b075-4beb-8240-84af87708ed9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,金地自在城(二期) 3室1厅 南,355万,中楼层(共18层)                                                    | 2015年建 |                                 3室1厅 | 94平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-529c6b0c-9500-4777-b0c1-a21fa22f5299.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,金地玺湾 4室2厅 南,768万,低楼层(共1层)                                                4室2厅 | 143平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/86da32fc-1529-4344-a5b3-3d569e3d906b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,9号线出行方便、楼层佳、看房方便、配套齐全,362万,中楼层(共19层)                                                    | 2013年建 |                                 2室2厅 | 89.36平米,https://ke-image.ljcdn.com/310000-inspection/test-7014bb24-9258-4ae7-ae7e-0cc6b7c9e91b.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,松江,泗泾,首付80万可以给您一个温馨舒适的家 拎包入住 配套完善,245万,中楼层(共13层)                                                    | 2011年建 |                                 2室1厅 | 68.01平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-79655e0f-dc0d-42ce-8df6-cf9cce1c7d67.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
