20190504,普陀,真如,真如西村 1室1厅 南,158万,高楼层(共6层)                                                    | 1984年建 |                                 1室1厅 | 33.26平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/rsp_pic_uploadbf942ec7-b934-45e2-a3b2-29d7621ac0c4.JPG!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,此房满五年唯一，税费较少，采光通风比较好,285万,中楼层(共6层)                                                    | 1998年建 |                                 1室1厅 | 50.39平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-3573fcde-b351-4721-be2d-45e2041a852f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,真如西村 2室1厅 南,260万,高楼层(共6层)                                                    | 1984年建 |                                 2室1厅 | 53.9平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-115719d5-062b-4cec-be42-f07795d992da.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,2009年竣工，一梯两户，安静位置，近地铁近商场,590万,高楼层(共6层)                                                    | 2009年建 |                                 2室2厅 | 95.71平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-9a9421f6-e18f-494c-9ef8-297a092e9fe6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,房型佳，南北通大三房，高区风景好，采光足视野不挡,800万,高楼层(共26层)                                                    | 2008年建 |                                 3室2厅 | 138.7平米                                  | 南 北,https://ke-image.ljcdn.com/shfdfs-image/20161110/bdd63646-055e-4b27-b383-b69697bcfd6d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,11号、14号地铁线200米，全明大三房，不靠马路有车位,800万,中楼层(共27层)                                                    | 1999年建 |                                 3室2厅 | 153.7平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-2e7fab19-375c-4054-9398-7ebadc7ba8b7.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,真如板块，地铁口，小两房，三楼，总价低,310万,中楼层(共6层)                                                    | 1993年建 |                                 2室1厅 | 59.08平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-287c9805-755c-4231-8d25-148d8f8d6ecc.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,海棠苑 3室1厅 南 北,545万,中楼层(共6层)                                                    | 2000年建 |                                 3室1厅 | 104.47平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-c7d7dbaa-e28f-488d-a690-e79cbb358d8c.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,曹杨八村 2室1厅 南,232万,中楼层(共5层)                                                    | 1954年建 |                                 2室1厅 | 50.37平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/428acfbd-6d9b-4f48-b995-97cc456293ea.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,水塘小区 1室1厅 南,215万,中楼层(共6层)                                                    | 1989年建 |                                 1室1厅 | 35.57平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-36c78d88-1ab8-4870-9923-ae093c6b2797.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,岚皋馨苑正气两房，诚意出售，看房方便，价格可谈！,490万,高楼层(共6层)                                                    | 1999年建 |                                 2室2厅 | 77.34平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-6d5214cd-86ca-492d-89b7-19e8dcdb56b3.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,品尊国际 3室2厅 南,1200万,中楼层(共36层)                                                    | 2011年建 |                                 3室2厅 | 142.75平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-1204d857-a54f-46a7-843c-6bdf93c556ca.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,曹杨八村 诚售两房一厅 248万,214万,高楼层(共5层)                                                    | 1955年建 |                                 2室1厅 | 48.64平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-bcf88a2e-2e37-4578-b730-92fc94ae62ac.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,双南精装，楼层好，房东诚意出售,255万,中楼层(共5层)                                                    | 1979年建 |                                 2室0厅 | 42.84平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-44018026-740e-4df0-a080-876f5d36ad3f.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,双南两房，采光好，地铁口，房型正气，总价低,290万,中楼层(共6层)                                                    | 1992年建 |                                 2室1厅 | 51.36平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-85de27c1-f6d8-4574-9acc-1312496206e6.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,樱花苑 一房一梯 一梯两户 总价低 楼层好,230万,高楼层(共6层)                                                    | 1989年建 |                                 1室1厅 | 44.32平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-ea1e58b8-03cf-4bfa-bdb8-4983097121f3.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,近地铁11号线真如站 一楼小户型带天井 有钥匙随时看房,170万,低楼层(共5层)                                                    | 1957年建 |                                 1室0厅 | 31平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-5b8e83a5-b268-4b1e-b6cd-1580338d9ccb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,枫桥路地铁站标志 申达枫桥苑 板式南北大两房 诚售,720万,中楼层(共18层)                                                    | 2000年建 |                                 2室2厅 | 116.24平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-a32465ce-c553-4d79-9102-26185f31a3a0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,近地铁上海西站 小区位置好 精装修 采光好 业主诚心,270万,高楼层(共6层)                                                    | 1990年建 |                                 2室1厅 | 54.67平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-6cdb0103-dcc1-47bb-9e03-0b493f2452ba.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,满五唯一，上家，诚意出售 楼层低二楼,145万,中楼层(共5层)                                                    | 1957年建 |                                 1室0厅 | 31.21平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/fbc4296c-c0d9-4a82-b80b-7f802d27b354.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,品尊国际二期精装大一房，高区，采光好，视野好,700万,高楼层(共36层)                                                    | 2011年建 |                                 1室1厅 | 77.14平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-3db8e7c4-33e7-4688-b1e5-033069f94ea1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,真如西村，三房诚意出售，到价签字！！！！！！！！！,390万,低楼层(共6层)                                                    | 1984年建 |                                 3室1厅 | 78平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-9cc08650-9068-4491-b657-240b16b12f48.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,金鼎花苑 单价低   花园位置  高层景观房,730万,高楼层(共11层)                                                    | 2003年建 |                                 2室2厅 | 110.65平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/dca5ba8a-5b8a-4295-8b5d-e1253e0819e4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,品尊二期拎包入住两房+看花园绿化+人车分流,830万,低楼层(共36层)                                                    | 2011年建 |                                 2室2厅 | 93.75平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-0fabd616-13c3-4c21-91ee-608a5dba2e74.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,南北通大两房，南北双阳台都带飘窗，采光足，视野不挡,620万,低楼层(共24层)                                                    | 2005年建 |                                 3室2厅 | 108平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-2246fd90-024b-4c96-a679-f6370b6596d2.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,两房一厅客户有诚意价钱还可以谈,280万,低楼层(共7层)                                                    | 1996年建 |                                 2室1厅 | 50.88平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-91590bce-5b45-4578-b914-5f6bc1e6f517.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,房型佳，南北通复式房，上下两层，采光足，视野不挡,720万,高楼层(共6层)                                                    | 2005年建 |                                 4室2厅 | 99.49平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-2817f743-8f6e-40b6-a632-d5a29fbfe5ec.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,有钥匙，看房方便，诚心出售，五楼采光不错,176万,高楼层(共6层)                                                    | 1981年建 |                                 1室1厅 | 33.8平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-bbe78fb6-f6ad-4364-8de5-71180642d075.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,一房朝南 一房朝北 全明  好楼层 诚意急售 位置优越,205万,低楼层(共7层)                                                    | 1986年建 |                                 2室0厅 | 42.74平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/7754b2cc-f2e9-47cc-9b2e-026632e750b9.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,高尚领域 3室2厅,680万,中楼层(共38层)                                                    | 2011年建 |                                 3室2厅 | 112.16平米,https://s1.ljcdn.com/pegasus/redskull/images/common/default_house_list.png?_v=20190429153127
20190504,普陀,真如,曹杨花苑 3室1厅 南,480万,中楼层(共6层)                                                    | 1996年建 |                                 3室1厅 | 80.28平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/3ea08a96-4424-429b-8011-5ad651f85429.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,业主诚心出售，房型正气，采光充足，看房方便,335万,高楼层(共7层)                                                    | 1995年建 |                                 2室1厅 | 61.77平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20160908/9a0312fd-2b5d-4ca8-b96d-f4559a771ba4.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,普陀,真如,双南双阳台，中间楼层  满五唯一，看房随时可以,诚售!,320万,中楼层(共6层)                                                    | 1986年建 |                                 2室1厅 | 59.7平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-2f968c68-cdc6-49aa-8844-7b1cf97e257d.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
