20190504,徐汇,徐汇滨江,小区标准两房，精装交付，来徐汇滨江选两房，就这套了,1250万,低楼层(共36层)                                                    | 2013年建 |                                 2室2厅 | 115.74平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-84e7e885-fb63-4d4a-b9d2-dc7c3c730ece.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,有钥匙 单价低 看房方便徐汇滨江特殊户型附50平天井,3200万,低楼层(共36层)                                                    | 2013年建 |                                 4室2厅 | 372平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/d46d381c-b9a7-4cce-a233-5955077d38fb.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,VR实拍！法式小高层！近7米厅宽！新装修！名家设计！,3497万,中楼层(共14层)                                                    | 2015年建 |                                 3室2厅 | 236平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/test-78fff84c-d49e-446e-b4d9-ef0aa19f726f.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,楼层好，视野开阔，1梯2户，得房率高，精装修，物况好,830万,高楼层(共6层)                                                    | 2000年建 |                                 4室2厅 | 173平米                                  | 南 北,https://ke-image.ljcdn.com/310000-inspection/prod-9ac39618-8c98-42ee-8d63-92462a3505a0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,百汇园 2室2厅 南,1590万,中楼层(共30层)                                                    | 2016年建 |                                 2室2厅 | 130平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/3173af47-e87b-44ae-981a-cf46945a8255.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,有钥匙随时看！ 一线江景位！全新未入住，正看小区！,1580万,高楼层(共28层)                                                    | 2016年建 |                                 2室1厅 | 130.05平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/prod-161122f3-9f8c-4761-89be-36767e805c3b.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,尚海湾前排高区江景大四房 保养好拎包入住,2800万,高楼层(共36层)                                                    | 2009年建 |                                 4室2厅 | 225.04平米                                  | 南,https://ke-image.ljcdn.com/shfdfs-image/20151017/289d6dde-8f0d-4845-b469-e06a037972d0.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,正看卢浦大桥，两房朝南厅朝东北一房北，高区,2350万,高楼层(共36层)                                                    | 2008年建 |                                 3室2厅 | 188.18平米                                  | 西南,https://ke-image.ljcdn.com/310000-inspection/prod-e517b9f0-5b9b-427a-a8a1-461c27c8224a.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,海珀旭晖酒店式公寓 2室1厅 南,768万,低楼层(共26层)                                                2室1厅 | 93平米                                  | 南,https://ke-image.ljcdn.com/hdic-frame/5ae98d68-63ba-49da-b7ba-02dd9fe14359.png!m_fill,w_280,h_210,f_jpg?from=ke.com
20190504,徐汇,徐汇滨江,高区3房 一天8小时采光 边套全明 3个独立阳台,1715万,中楼层(共37层)                                                    | 2009年建 |                                 3室2厅 | 166.4平米                                  | 南,https://ke-image.ljcdn.com/310000-inspection/rsp_pic_upload51062165-191c-44a4-9baf-5d73f98b91c1.jpg!m_fill,w_280,h_210,f_jpg?from=ke.com
